Record,KinPair,Sample_ID,Harvest_Location,lat,lon,MONTH,DATE,YEAR,Age,birth year,AgeType,ToothAgeQuality,Age1,Age2,Sex,Tissue,PLOD_Approx,Potential_HSP_or_POP,DeltaBirth,mtDNA,SameHarvLocation,SameHarvYr,Comment
1,1,2013BS1,Barrow,71.290556, -156.788611,,,2013,1,2012,tooth,A,,,M,Muscle,31,HSP,2,P,Y,N,
2,1,2010BS24,Barrow,71.290556, -156.788611,JUL,9-Jul-10,2010,0,2010,tooth,A,,,F,Muscle,31,HSP,2,P,Y,N,
3,2,EB07SH220,Shishmaref,66.255556,-166.072222,JUN,19-Jun-07,2007,0,2007,tooth,A,,,F,Skin,33,HSP,1,M,N,N,
4,2,EB13PH016,Point Hope,68.346944,-166.763056,JUN,23-Jun-13,2013,7,2006,tooth,A,,,F,Muscle,33,HSP,1,M,N,N,"no  twinning, assume age error; increase age and delta birth by 1"
5,3,EB14GAM013,Gambell,63.776111,-171.700833,FEB,2-Feb-14,2014,0,2013,tooth,A,,,F,Muscle,39,HSP,1,P,Y,Y,Feb harvest; increase delta birth by 1
6,3,EB14GAM035,Gambell,63.776111,-171.700833,MAY,22-May-14,2014,0,2014,tooth,A,,,M,Liver,39,HSP,1,P,Y,Y,
7,4,2011BS35,Barrow,71.290556, -156.788611,JUL,19-Jul-11,2011,0,2011,tooth,A,,,F,Muscle,42,HSP,3,M,N,N,
8,4,EB08DIO010,Diomede Island,65.758333,-168.951667,DEC,27-Dec-08,2008,0,2008,tooth,A,,,M,Muscle,42,HSP,3,M,N,N,
9,5,EB08DIO005,Diomede Island,65.758333,-168.951667,MAY,20-May-08,2008,2,2006,tooth,A,,,M,Muscle,47,HSP,5,P,N,N,
10,5,UNK11GAM006,Gambell,63.776111,-171.700833,,,2011,0,2011,claw,NA,,,F,Liver,47,HSP,5,P,N,N,
11,6,EB17GAM064,Gambell,63.776111,-171.700833,Summer,,2017,0,2017,claw,NA,,,M,Liver,50,HSP,2,M,Y,N,
12,6,EB16GAM021,Gambell,63.776111,-171.700833,MAR,10-Mar-16,2016,0,2015,tooth,A,,,F,Liver,50,HSP,2,M,Y,N,March harvest; increase delta birth by 1
13,7,EB09DIO013,Diomede Island,65.758333,-168.951667,MAY,31-May-09,2009,0,2009,tooth,A,,,F,Liver,51,HSP,5,P,Y,N,
14,7,DIO-025-04,Diomede Island,65.758333,-168.951667,MAY,27-May-04,2004,0,2004,tooth,A,,,F,Liver,51,HSP,5,P,Y,N,
15,8,EB18PH013,Point Hope,68.346944,-166.763056,MAY,22-May-18,2018,10,2008,tooth,A,9,11,F,Muscle,56,HSP,11,M,N,N,
16,8,DIO-013-04,Diomede Island,65.758333,-168.951667,MAY,21-May-04,2004,7,1997,tooth,C,7,9,F,Muscle,56,HSP,11,M,N,N,
17,9,EB15GAM044,Gambell,63.776111,-171.700833,OCT,30-Oct-15,2015,0,2015,tooth,A,,,M,Muscle,59,HSP,0,P,Y,Y,Same Cohort; Paternal; Same Location & Year; Diff Season
18,9,EB15GAM009,Gambell,63.776111,-171.700833,Spring,,2015,0,2015,tooth,A,,,M,Muscle,59,HSP,0,P,Y,Y,Same Cohort; Paternal; Same Location & Year; Diff Season
19,10,SH-055-07,Shishmaref,66.255556,-166.072222,OCT,1-Oct-07,2007,0,2007,tooth,A,,,M,Skin,63,HSP,13,P,N,N,
20,10,EB20GAM048,Gambell,63.776111,-171.700833,JUN,4-Jun-20,2020,0,2020,tooth,A,,,F,Muscle,63,HSP,13,P,N,N,
21,11,SH-S15-06,Shishmaref,66.255556,-166.072222,JUN,8-Jun-06,2006,13,1993,tooth,A,12,14,M,Skin,63,HSP,12,P,Y,N,
22,11,SH-S04-05,Shishmaref,66.255556,-166.072222,OCT,21-Oct-05,2005,0,2005,tooth,A,,,M,Skin,63,HSP,12,P,Y,N,
23,12,EB09SH005,Shishmaref,66.255556,-166.072222,OCT,1-Oct-09,2009,1,2008,tooth,A,,,M,Muscle,63,HSP,4,P,N,N,
24,12,EB08NOM001,Nome,64.503889,-165.399444,NOV,15-Nov-08,2008,4,2004,tooth,A,,,F,Muscle,63,HSP,4,P,N,N,
25,13,EB16PH017,Point Hope,68.346944,-166.763056,JUN,5-Jun-16,2016,1,2015,tooth,A,,,F,Muscle,64,HSP,3,M,N,N,
26,13,EB13GAM003,Gambell,63.776111,-171.700833,,,2013,1,2012,tooth,B,0,1,M,Muscle,64,HSP,3,M,N,N,Set age = 1 and delta birth = 3
27,14,DIO-036-02,Diomede Island,65.758333,-168.951667,MAY,22-May-02,2002,0,2002,tooth,NA,,,M,Skin,70,HSP,10,P,N,N,
28,14,EB12SH027,Shishmaref,66.255556,-166.072222,OCT,2-Oct-12,2012,0,2012,tooth,A,,,M,Liver,70,HSP,10,P,N,N,
29,15,2011BS25,Barrow,71.290556, -156.788611,JUL,11-Jul-11,2011,1,2010,tooth,A,,,M,Muscle,72,HSP,0,P,N,N,Same Cohort; Paternal; Diff Location; Diff Year
30,15,EB10PH006,Point Hope,68.346944,-166.763056,JUN,16-Jun-10,2010,0,2010,tooth,A,,,F,Muscle,72,HSP,0,P,N,N,Same Cohort; Paternal; Diff Location; Diff Year
31,16,EB10DIO002,Diomede Island,65.758333,-168.951667,JUN,5-Jun-10,2010,1,2009,tooth,A,,,M,Muscle,74,HSP,2,M,N,N,
32,16,UNK11GAM001,Gambell,63.776111,-171.700833,,,2011,0,2011,tooth,A,,,M,Muscle,74,HSP,2,M,N,N,
33,17,EB19GAM018,Gambell,63.776111,-171.700833,APR,24-Apr-19,2019,0,2019,tooth,A,,,F,Muscle,76,HSP,6,P,Y,N,April harvest; increase delta birth by 1
34,17,EB13GAM058,Gambell,63.776111,-171.700833,,,2013,1,2012,tooth,A,,,M,Muscle,76,HSP,6,P,Y,N,
35,18,EB05KVL010,Kivalina,67.727222,-164.539167,JUN,,2005,6,1999,tooth,A,,,F,Skin,80,HSP,11,P,N,N,
36,18,EB11PH032,Point Hope,68.346944,-166.763056,JUN,18-Jun-11,2011,1,2010,tooth,A,,,F,Muscle,80,HSP,11,P,N,N,
37,19,EB17GAM053,Gambell,63.776111,-171.700833,MAY,25-May-17,2017,0,2017,tooth,A,,,F,Liver,81,HSP,8,P,Y,N,
38,19,EB09GAM011,Gambell,63.776111,-171.700833,OCT,15-Oct-09,2009,0,2009,tooth,A,,,F,Liver,81,HSP,8,P,Y,N,
39,20,EB14GAM064,Gambell,63.776111,-171.700833,Summer,,2014,0,2014,tooth,A,,,F,Liver,83,HSP,2,M,Y,N,
40,20,EB12GAM044,Gambell,63.776111,-171.700833,SEP,8-Sep-12,2012,0,2012,tooth,A,,,M,Muscle,83,HSP,2,M,Y,N,
41,21,EB17PH043,Point Hope,68.346944,-166.763056,JUN,5-Jun-17,2017,8,2009,tooth,A,,,F,Muscle,83,HSP,5,M,N,N,
42,21,SH-G19-04,Shishmaref,66.255556,-166.072222,OCT,13-Oct-04,2004,0,2004,tooth,A,,,M,Muscle,83,HSP,5,M,N,N,
43,22,EB09SH009,Shishmaref,66.255556,-166.072222,OCT,6-Oct-09,2009,0,2009,tooth,A,,,M,Muscle,86,HSP,11,P,N,N,
44,22,2012BS13,Barrow,71.290556, -156.788611,JUL,1-Jul-12,2012,14,1998,tooth,A,13,15,F,Muscle,86,HSP,11,P,N,N,
45,23,2011BS7,Barrow,71.290556, -156.788611,JUL,2-Jul-11,2011,12,1999,tooth,B,12,14,F,Muscle,87,HSP,6,P,N,N,
46,23,EB06PH023,Point Hope,68.346944,-166.763056,JUL,9-Jul-06,2006,1,2005,tooth,A,,,M,Skin,87,HSP,6,P,N,N,
47,24,EB17PH037,Point Hope,68.346944,-166.763056,JUN,4-May-17,2017,5,2012,tooth,B,4,5,M,Muscle,88,HSP,6,P,N,N,
48,24,SH-S26-06,Shishmaref,66.255556,-166.072222,JUN,11-Jun-06,2006,0,2006,tooth,A,,,F,Skin,88,HSP,6,P,N,N,
49,25,EB12PH022,Point Hope,68.346944,-166.763056,JUN,24-Jun-12,2012,4,2008,tooth,B,3,5,F,Muscle,109,HSP,6,P,Y,N,
50,25,EB16PH010,Point Hope,68.346944,-166.763056,JUN,3-Jun-16,2016,2,2014,tooth,A,,,M,Muscle,109,HSP,6,P,Y,N,
51,26,EB15PH003,Point Hope,68.346944,-166.763056,JUN,1-Jun-15,2015,2,2013,tooth,A,,,M,Muscle,209,POP,5,M,Y,N,
52,26,EB13PH031,Point Hope,68.346944,-166.763056,JUN,25-Jun-13,2013,5,2008,tooth,B,5,6,F,Muscle,209,POP,5,M,Y,N,lexigram lines miss overlapping; suggests ageing error
53,27,EB12PH024,Point Hope,68.346944,-166.763056,JUN,24-Jun-12,2012,14,1998,tooth,B,14,16,M,Muscle,251,POP,15,P,Y,N,
54,27,EB19PH024,Point Hope,68.346944,-166.763056,MAY,29-May-19,2019,6,2013,tooth,B,5,6,M,Liver,251,POP,15,P,Y,N,lexigram lines miss overlapping; suggests ageing error
